,Year,Player,Tm,Age,Pos,college
9875,1990.0,Derrick Chievous,CLE,22.0,SF,University of Missouri
9876,1990.0,Ben Coleman,MIL,28.0,PF,University of Maryland
9877,1990.0,Steve Colter,WSB,27.0,PG,New Mexico State University
9878,1990.0,Lester Conner,NJN,30.0,PG,Oregon State University
9879,1990.0,Michael Cooper,LAL,33.0,SG,University of New Mexico
9880,1990.0,Wayne Cooper,POR,33.0,C,University of New Orleans
9881,1990.0,Lanard Copeland,PHI,24.0,SG,Georgia State University
9882,1990.0,Tyrone Corbin,MIN,27.0,SF,DePaul University
9883,1990.0,Dave Corzine,ORL,33.0,C,DePaul University
9884,1990.0,Pat Cummings,MIA,33.0,C,University of Cincinnati
9885,1990.0,Terry Cummings,SAS,28.0,PF,DePaul University
9886,1990.0,Dell Curry,CHH,25.0,SG,Virginia Polytechnic Institute and State University
9887,1990.0,Quintin Dailey,SEA,29.0,SG,University of San Francisco
9888,1990.0,Adrian Dantley*,DAL,33.0,SF,
9889,1990.0,Brad Daugherty,CLE,24.0,C,University of North Carolina
9890,1990.0,Brad Davis,DAL,34.0,PG,University of Maryland
9891,1990.0,Charles Davis,CHI,31.0,SF,Vanderbilt University
9892,1990.0,Terry Davis,MIA,22.0,PF,Virginia Union University
9893,1990.0,Walter Davis,DEN,35.0,SG,University of North Carolina
9894,1990.0,Johnny Dawkins,PHI,26.0,PG,Duke University
9895,1990.0,Vinny Del,SAC,23.0,SG,
9896,1990.0,Byron Dinkins,HOU,22.0,PG,University of North Carolina at Charlotte
9897,1990.0,Vlade Divac,LAL,21.0,C,
9898,1990.0,James Donaldson,DAL,32.0,C,Washington State University
9899,1990.0,Sherman Douglas,MIA,23.0,PG,Syracuse University
9900,1990.0,Terry Dozier,CHH,23.0,SF,University of South Carolina
9901,1990.0,Greg Dreiling,IND,27.0,C,University of Kansas
9902,1990.0,Larry Drew,LAL,31.0,PG,University of Missouri
9903,1990.0,Larry Drew,LAL,31.0,PG,"University of California, Los Angeles"
9904,1990.0,Clyde Drexler*,POR,27.0,SG,
9905,1990.0,Kevin Duckworth,POR,25.0,C,Eastern Illinois University
9906,1990.0,Chris Dudley,TOT,24.0,PF,Yale University
9907,1990.0,Chris Dudley,CLE,24.0,PF,Yale University
9908,1990.0,Chris Dudley,NJN,24.0,PF,Yale University
9909,1990.0,Joe Dumars*,DET,26.0,SG,
